"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",579118.68,0,463785.3,0.9,463785.3,0,0,0,0,3614.75,2795.35,6492994.2,2706802.11,2021,0,"Afghanistan","South Asia","Low income"
"2","AGO",536273.19,0,406887.3,0.9,406887.3,0,0,0,0,11798.24,8574.52,9765295.2,10452262.3,2021,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",14784.56,0,13068.9,0.9,13068.9,0,0,0,0,78.53,48.23,548371.04,48220.66,2021,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",47220.45,0,42095.7,0.9,42095.7,0,0,0,0,335.43,256.93,11997274.5,237536.69,2021,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",360942.35,0.53,319261.5,0.9,319261.5,2598.29,1726.17,7888880.72,9123931.61,4412.19,2931.23,13396212.54,15493468.76,2021,-1235050.89,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",19495.94,0.08,17172.9,0.9,17172.9,13.24,9.91,36635.52,9000.8,148.96,111.47,412149.6,101259,2021,27634.72,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",161507.31,0.66,144483.3,0.9,144483.3,522.02,283.13,30197009.7,812799.22,711.85,386.09,41177740.5,1108362.58,2021,29384210.48,"Australia","East Asia & Pacific","High income"
"8","AUT",41069.09,0,36765,0.9,36765,0,0,0,0,203.19,107.71,10478025,299394.55,2021,0,"Austria","Europe & Central Asia","High income"
"9","AZE",70526.23,0,60435.9,0.9,60435.9,0,0,0,0,374.98,254.33,1450461.6,274595.69,2021,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",180973.05,0,140682.6,0.9,140682.6,0,0,0,0,5064.17,4200.54,1969556.4,4958035.93,2021,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66275.15,0.7,59367.6,0.9,59367.6,325.05,149.84,13159818,467364.22,417.92,192.65,16919766,600896.85,2021,12692453.78,"Belgium","Europe & Central Asia","High income"
"12","BEN",173761.39,0,135362.7,0.9,135362.7,0,0,0,0,1436.78,1053.3,1895077.8,841174.7,2021,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",325418.63,0,247167.9,0.9,247167.9,0,0,0,0,3031.46,2497.54,3460350.6,1682964.38,2021,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1559093.74,0,1313982.9,0.9,1313982.9,0,0,0,0,11316.79,7969.12,18395760.6,8218958.53,2021,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",37142.38,0.03,33021.9,0.9,33021.9,16.43,9.24,46186.63,10580.49,493.02,277.11,1385598.92,317414.77,2021,35606.14,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",9717.91,0,8649.9,0.9,8649.9,0,0,0,0,41.76,27.68,2465221.5,33088.66,2021,0,"Bahrain","Middle East & North Africa","High income"
