"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",586313.3,0.8,486296.1,0.9,486296.1,3458.9,2681.14,6051684.8,2590101.21,3891.27,3016.28,6808145.4,2913863.86,2029,3461583.59,"Afghanistan","South Asia","Low income"
"2","AGO",607552.73,0.8,494922.6,0.9,494922.6,13116.48,9577.91,10558348.8,11620115.79,14756.04,10775.15,11878142.4,13072630.26,2029,-1061766.99,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15769.14,0.8,14044.5,0.9,14044.5,75.64,46.62,523828.64,46444.74,85.09,52.44,589307.22,52250.33,2029,477383.9,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",51179.24,0.8,45708.3,0.9,45708.3,326.86,250.9,11579436,231470.08,367.72,282.26,13026865.5,260403.84,2029,11347965.92,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371507.59,0.858888888888889,329905.8,0.9,329905.8,4399.71,2942.07,13210519.77,15449621.68,4610.3,3082.89,13842847.37,16189124.91,2029,-2239101.91,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",19958.05,0.808888888888889,17709.3,0.9,17709.3,140.32,105.5,381996.16,95383.65,156.12,117.38,425023.2,106127.41,2029,286612.51,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",176527.09,0.873333333333333,158169.6,0.9,158169.6,761.56,418.11,43742681.6,1185771.82,784.82,430.88,45078336,1221978.6,2029,42556909.78,"Australia","East Asia & Pacific","High income"
"8","AUT",44069.45,0.8,39522.6,0.9,39522.6,196.56,104.95,10012392,289625.49,221.13,118.07,11263941,325828.68,2029,9722766.51,"Austria","Europe & Central Asia","High income"
"9","AZE",81914.61,0.8,71672.4,0.9,71672.4,400.1,272.1,1529011.2,292989.94,450.12,306.11,1720137.6,329613.68,2029,1236021.26,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",212412.35,0.8,174824.1,0.9,174824.1,5747.64,4779.46,2175588.8,5627185.05,6466.1,5376.9,2447537.4,6330583.18,2029,-3451596.25,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",64129.84,0.877777777777778,57480.3,0.9,57480.3,398.59,185.57,15977394.5,573095.94,408.68,190.26,16381885.5,587604.7,2029,15404298.56,"Belgium","Europe & Central Asia","High income"
"12","BEN",200922.27,0.8,160430.4,0.9,160430.4,1546.18,1135.65,1996467.2,905219.58,1739.45,1277.6,2246025.6,1018372.02,2029,1091247.62,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",366056.42,0.8,292026.6,0.9,292026.6,3247.11,2680.41,3634108.8,1802683.88,3653,3015.46,4088372.4,2028019.36,2029,1831424.92,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1458022.22,0.8,1257659.1,0.9,1257659.1,9775.85,6906.23,15650868.8,7099829.64,10997.83,7769.51,17607227.4,7987308.35,2029,8551039.16,"Bangladesh","South Asia","Lower middle income"
"15","BGR",30904.25,0.803333333333333,27571.5,0.9,27571.5,371.16,210.99,1032640.5,238957.27,415.82,236.37,1156900.14,267711.46,2029,793683.23,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10815.92,0.8,9654.3,0.9,9654.3,41.6,27.59,2445756,32963.44,46.8,31.04,2751475.5,37083.88,2029,2412792.56,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2679.77,0.8,2372.4,0.9,2372.4,34.48,25.29,601008,29951.32,38.79,28.45,676134,33695.23,2029,571056.68,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",13351.26,0.8,11943,0.9,11943,107.33,60.6,445447.36,66934.45,120.74,68.18,501128.28,75301.26,2029,378512.91,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",55416.73,0.8,49661.1,0.9,49661.1,419.12,196.73,1852248.67,1064491.76,471.51,221.33,2083779.76,1197553.24,2029,787756.91,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3948.34,0.804444444444444,3495.6,0.9,3495.6,66.29,64.76,131102.43,54959.27,74.16,72.45,146675.38,61487.58,2029,76143.16,"Belize","Latin America & Caribbean","Upper middle income"
