"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",581691.17,0.6,478617.3,0.9,478617.3,2537.88,1966.08,4467094.8,1900421.05,3806.83,2949.12,6700642.2,2850631.58,2027,2566673.75,"Afghanistan","South Asia","Low income"
"2","AGO",590215.86,0.6,474531.3,0.9,474531.3,9368.67,6833.41,7592500.8,8299861.89,14053,10250.11,11388751.2,12449792.84,2027,-707361.09,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",16010.55,0.6,14238.9,0.9,14238.9,57.41,35.36,398309.5,35254.47,86.12,53.04,597464.24,52881.7,2027,363055.03,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",52373.97,0.6,46755.9,0.9,46755.9,250.19,191.95,8883621,177176.82,375.29,287.93,13325431.5,265765.23,2027,8706444.18,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371488.03,0.776666666666667,329559.3,0.9,329559.3,3964.7,2647.64,11933317.84,13922090.15,4594.29,3068.08,13828308.23,16132894.16,2027,-1988772.31,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20339.63,0.626666666666667,18020.7,0.9,18020.7,110.23,82.8,301145.92,74935.33,158.32,118.92,432496.8,107619.88,2027,226210.59,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",172196.61,0.82,154298.7,0.9,154298.7,696.48,381.52,40066229.1,1084434.56,764.43,418.74,43975129.5,1190233.05,2027,38981794.54,"Australia","East Asia & Pacific","High income"
"8","AUT",42696.69,0.6,38286,0.9,38286,142.46,75.97,7274340,209914.67,213.7,113.95,10911510,314872.01,2027,7064425.33,"Austria","Europe & Central Asia","High income"
"9","AZE",84214.7,0.6,73374.3,0.9,73374.3,306.32,208.19,1173988.8,224313.27,459.48,312.28,1760983.2,336469.91,2027,949675.53,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",206688.74,0.6,168335.1,0.9,168335.1,4123.53,3426.79,1571127.6,4037111.34,6185.3,5140.18,2356691.4,6055667.01,2027,-2465983.74,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",65282.79,0.833333333333333,58501.8,0.9,58501.8,384.34,178.6,15437975,552608.22,415.08,192.88,16673013,596816.87,2027,14885366.78,"Belgium","Europe & Central Asia","High income"
"12","BEN",194438.79,0.6,154328.4,0.9,154328.4,1109.69,814.65,1440398.4,649672.72,1664.53,1221.98,2160597.6,974509.09,2027,790725.68,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",354999.72,0.6,280575.9,0.9,280575.9,2328.72,1921.35,2618708.4,1292823.39,3493.07,2882.03,3928062.6,1939235.09,2027,1325885.01,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1476865.2,0.6,1268046,0.9,1268046,7367.66,5201.47,11835096,5350855.8,11051.5,7802.2,17752644,8026283.7,2027,6484240.2,"Bangladesh","South Asia","Lower middle income"
