"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578119.69,0.3,469757.7,0.9,469757.7,1233.28,954.58,2192202.6,923509.73,3699.85,2863.73,6576607.8,2770529.18,2024,1268692.87,"Afghanistan","South Asia","Low income"
"2","AGO",565083.44,0.3,442840.5,0.9,442840.5,4326.53,3150.1,3542724,3832948.19,12979.6,9450.3,10628172,11498844.57,2024,-290224.19,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15906.21,0.3,14111.1,0.9,14111.1,28.35,17.44,197367.25,17410.51,85.06,52.32,592101.76,52231.53,2024,179956.74,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",51642.72,0.3,46070.1,0.9,46070.1,122.82,94.16,4376659.5,86978.58,368.47,282.47,13129978.5,260935.74,2024,4289680.92,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",368477.07,0.653333333333333,326463.3,0.9,326463.3,3290.07,2191.86,9944023.75,11553125.08,4532.24,3019.4,13698400.07,15915019.24,2024,-1609101.33,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20328.98,0.353333333333333,17963.1,0.9,17963.1,61.59,46.18,169252.32,41864.72,156.87,117.63,431114.4,106636.55,2024,127387.6,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",165576.22,0.74,148277.7,0.9,148277.7,602.42,328.54,34746407.7,937981.5,732.67,399.58,42259144.5,1140788.31,2024,33808426.2,"Australia","East Asia & Pacific","High income"
"8","AUT",41168.12,0.3,36897.3,0.9,36897.3,68.34,36.35,3505243.5,100701.43,205.03,109.04,10515730.5,302104.28,2024,3404542.07,"Austria","Europe & Central Asia","High income"
"9","AZE",82125.54,0.3,71020.8,0.9,71020.8,147.58,100.2,568166.4,108067.84,442.73,300.6,1704499.2,324203.52,2024,460098.56,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",195901.81,0.3,156326.4,0.9,156326.4,1895.48,1573.72,729523.2,1855751.61,5686.43,4721.15,2188569.6,5567254.83,2024,-1126228.41,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66305.73,0.766666666666667,59399.1,0.9,59399.1,357.69,165.62,14420781.5,514300.17,419.9,194.43,16928743.5,603743.67,2024,13906481.33,"Belgium","Europe & Central Asia","High income"
"12","BEN",184631.25,0.3,145163.7,0.9,145163.7,517.8,379.86,677430.6,303151.78,1553.41,1139.59,2032291.8,909455.33,2024,374278.82,"Benin","Sub-Saharan Africa","Lower middle income"
