"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578152.48,0.1,465273,0.9,465273,404.36,312.79,723758,302791.71,3639.22,2815.12,6513822,2725125.4,2022,420966.29,"Afghanistan","South Asia","Low income"
"2","AGO",545561.66,0.1,418599,0.9,418599,1353.54,984.3,1116264,1199124.99,12181.87,8858.7,10046376,10792124.89,2022,-82860.99,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15146.54,0.1,13406.4,0.9,13406.4,8.96,5.51,62503.62,5502.13,80.64,49.56,562532.54,49519.13,2022,57001.49,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",48679.96,0.1,43407,0.9,43407,38.48,29.48,1374555,27249.62,346.32,265.34,12370995,245246.6,2022,1347305.38,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",363663.03,0.571111111111111,321854.4,0.9,321854.4,2827,1879.94,8569846.25,9927032.14,4455,2962.54,13505010.62,15643766.61,2022,-1357185.89,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",19759.35,0.171111111111111,17424,0.9,17424,28.8,21.57,79505.07,19578.95,151.49,113.45,418176,102980.19,2022,59926.12,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",162890.97,0.686666666666667,145803.6,0.9,145803.6,548.61,298.14,31704182.8,854197.93,719.05,390.77,41554026,1119579.81,2022,30849984.87,"Australia","East Asia & Pacific","High income"
"8","AUT",41090.75,0.1,36819,0.9,36819,22.65,12.02,1165935,33379.77,203.89,108.21,10493415,300417.91,2022,1132555.23,"Austria","Europe & Central Asia","High income"
"9","AZE",74549.31,0.1,64093.5,0.9,64093.5,44.26,30.03,170916,32409.77,398.32,270.26,1538244,291687.95,2022,138506.23,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",186019.67,0.1,145940.4,0.9,145940.4,585.77,486.03,227018.4,573493.31,5271.93,4374.24,2043165.6,5161439.83,2022,-346474.91,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66313.06,0.722222222222222,59382.9,0.9,59382.9,335.94,155.11,13581089.17,483026.36,418.64,193.29,16924126.5,601925.16,2022,13098062.81,"Belgium","Europe & Central Asia","High income"
"12","BEN",177294.7,0.1,138547.8,0.9,138547.8,163.84,120.14,215518.8,95920.32,1474.55,1081.23,1939669.2,863282.87,2022,119598.48,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",329981.84,0.1,252558,0.9,252558,345.03,284.33,392868,191551.15,3105.31,2558.99,3535812,1723960.37,2022,201316.85,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1542105.68,0.1,1304685.9,0.9,1304685.9,1251.18,881.49,2029511.4,908686.91,11260.65,7933.37,18265602.6,8178182.21,2022,1120824.49,"Bangladesh","South Asia","Lower middle income"
"15","BGR",35951.36,0.126666666666667,31940.1,0.9,31940.1,67.2,37.84,188621.67,43264.4,477.47,268.84,1340206.6,307404.92,2022,145357.27,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",9883.53,0.1,8801.1,0.9,8801.1,4.72,3.13,278701.5,3742.8,42.52,28.18,2508313.5,33685.21,2022,274958.7,"Bahrain","Middle East & North Africa","High income"
