"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",579642.24,0.5,474921.9,0.9,474921.9,2091.92,1620.12,3693837,1566474.45,3765.46,2916.22,6648906.6,2819654,2026,2127362.55,"Afghanistan","South Asia","Low income"
"2","AGO",582462.52,0.5,464741.1,0.9,464741.1,7620.01,5554.7,6196548,6750695.41,13716.02,9998.46,11153786.4,12151251.74,2026,-554147.41,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",16222.07,0.5,14415.3,0.9,14415.3,48.39,29.79,336036.66,29711.03,87.1,53.62,604865.99,53479.85,2026,306325.63,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",52902.64,0.5,47216.7,0.9,47216.7,210.3,161.31,7475977.5,148928.38,378.55,290.35,13456759.5,268071.09,2026,7327049.12,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371313.42,0.735555555555556,329267.7,0.9,329267.7,3746.48,2500.04,11291654.47,13155798.21,4584.06,3058.96,13816072.69,16096973.64,2026,-1864143.74,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20488.08,0.535555555555556,18136.8,0.9,18136.8,94.64,71.05,259020.37,64332.08,159.04,119.39,435283.2,108109.93,2026,194688.29,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",169382.32,0.793333333333333,151772.4,0.9,151772.4,662.23,362.28,38128599.6,1031114.11,751.27,410.99,43255134,1169751.3,2026,37097485.49,"Australia","East Asia & Pacific","High income"
"8","AUT",41975.29,0.5,37610.1,0.9,37610.1,116.46,62.05,5954932.5,171604.89,209.64,111.7,10718878.5,308888.8,2026,5783327.61,"Austria","Europe & Central Asia","High income"
"9","AZE",85355.84,0.5,74195.1,0.9,74195.1,257.74,175.12,989268,188739.63,463.93,315.21,1780682.4,339731.33,2026,800528.37,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",203816.21,0.5,164998.8,0.9,164998.8,3356.97,2788.87,1283324,3286612.38,6042.54,5019.97,2309983.2,5915902.28,2026,-2003288.38,"Burundi","Sub-Saharan Africa","Low income"
