"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578119.69,0,469757.7,0.9,469757.7,0,0,0,0,3699.85,2863.73,6576607.8,2770529.18,2024,0,"Afghanistan","South Asia","Low income"
"2","AGO",565083.44,0,442840.5,0.9,442840.5,0,0,0,0,12979.6,9450.3,10628172,11498844.57,2024,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15906.21,0,14111.1,0.9,14111.1,0,0,0,0,85.06,52.32,592101.76,52231.53,2024,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",51642.72,0,46070.1,0.9,46070.1,0,0,0,0,368.47,282.47,13129978.5,260935.74,2024,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",368477.07,0.53,326463.3,0.9,326463.3,2668.99,1778.09,8066835.6,9372178,4532.24,3019.4,13698400.07,15915019.24,2024,-1305342.4,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20328.98,0.08,17963.1,0.9,17963.1,13.94,10.46,38321.28,9478.8,156.87,117.63,431114.4,106636.55,2024,28842.48,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",165576.22,0.66,148277.7,0.9,148277.7,537.29,293.02,30990039.3,836578.1,732.67,399.58,42259144.5,1140788.31,2024,30153461.2,"Australia","East Asia & Pacific","High income"
"8","AUT",41168.12,0,36897.3,0.9,36897.3,0,0,0,0,205.03,109.04,10515730.5,302104.28,2024,0,"Austria","Europe & Central Asia","High income"
"9","AZE",82125.54,0,71020.8,0.9,71020.8,0,0,0,0,442.73,300.6,1704499.2,324203.52,2024,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",195901.81,0,156326.4,0.9,156326.4,0,0,0,0,5686.43,4721.15,2188569.6,5567254.83,2024,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66305.73,0.7,59399.1,0.9,59399.1,326.59,151.22,13166800.5,469578.41,419.9,194.43,16928743.5,603743.67,2024,12697222.09,"Belgium","Europe & Central Asia","High income"
"12","BEN",184631.25,0,145163.7,0.9,145163.7,0,0,0,0,1553.41,1139.59,2032291.8,909455.33,2024,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",339723.9,0,263818.8,0.9,263818.8,0,0,0,0,3260.41,2688.11,3693463.2,1810067.76,2024,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1514110.8,0,1289907.9,0.9,1289907.9,0,0,0,0,11180.05,7883.61,18058710.6,8119646.67,2024,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",33685.9,0.03,29989.8,0.9,29989.8,14.98,8.46,41945.73,9647.08,449.52,253.92,1258372.01,289412.49,2024,32298.65,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10313.06,0,9191.7,0.9,9191.7,0,0,0,0,44.45,29.47,2619634.5,35217.54,2024,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2679.37,0,2369.7,0.9,2369.7,0,0,0,0,38.3,28.11,675364.5,33273.36,2024,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",16458.81,0,14703.3,0.9,14703.3,0,0,0,0,148.23,83.15,616950.47,92441.8,2024,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",57758.52,0,51668.1,0.9,51668.1,0,0,0,0,487.51,227.96,2167993.48,1238191.44,2024,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3879.04,0.04,3424.5,0.9,3424.5,3.18,3.11,6386.31,2637.37,71.57,69.89,143692.02,59340.92,2024,3748.94,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",121463.62,0.36,103077,0.9,103077,1073.04,742.58,989539.2,677684.73,2682.59,1856.45,2473848,1694211.83,2024,311854.47,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1456854.03,0.67,1285421.4,0.9,1285421.4,12627.99,7621.34,40152565.45,14128007.57,16962.97,10237.63,53936281.94,18977920.61,2024,26024557.88,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1567.3,0.28,1389.6,0.9,1389.6,7.83,5.34,123211.2,5596.01,25.18,17.17,396036,17987.16,2024,117615.19,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3394.37,0.89,3024,0.9,3024,41.93,13.78,852264,46826.53,42.41,13.93,861840,47352.67,2024,805437.47,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6368.85,0.88,5474.7,0.9,5474.7,63.12,42.66,128472.96,44148.18,64.56,43.63,131392.8,45151.54,2024,84324.78,"Bhutan","South Asia","Lower middle income"
