"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578102.99,0,467527.5,0.9,467527.5,0,0,0,0,3669.71,2839.55,6545385,2747957.91,2023,0,"Afghanistan","South Asia","Low income"
"2","AGO",555105.29,0,430570.8,0.9,430570.8,0,0,0,0,12575.26,9150.35,10333699.2,11140640.88,2023,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15482.19,0,13719.6,0.9,13719.6,0,0,0,0,82.62,50.79,575674.42,50729.77,2023,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",50104.85,0,44687.7,0.9,44687.7,0,0,0,0,356.98,273.59,12735994.5,252796.4,2023,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",366089.19,0.53,324180,0.9,324180,2646.46,1761.51,8010415.76,9293075.55,4493.99,2991.25,13602592.8,15780694.33,2023,-1282659.79,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20043.47,0.08,17693.1,0.9,17693.1,13.7,10.27,37745.28,9316.09,154.18,115.53,424634.4,104805.97,2023,28429.19,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",164394.53,0.66,147195,0.9,147195,532.83,290.1,30763755,829637.15,726.59,395.59,41950575,1131323.39,2023,29934117.85,"Australia","East Asia & Pacific","High income"
"8","AUT",41151.1,0,36870.3,0.9,36870.3,0,0,0,0,204.53,108.67,10508035.5,301370.49,2023,0,"Austria","Europe & Central Asia","High income"
"9","AZE",78278.46,0,67501.8,0.9,67501.8,0,0,0,0,420.15,285.17,1620043.2,307667.65,2023,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",190957.05,0,151117.2,0.9,151117.2,0,0,0,0,5478.33,4546.94,2115640.8,5363516.75,2023,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66306.92,0.7,59398.2,0.9,59398.2,326.14,150.8,13166601,468935.06,419.33,193.89,16928487,602916.51,2023,12697665.94,"Belgium","Europe & Central Asia","High income"
"12","BEN",180933.27,0,141815.7,0.9,141815.7,0,0,0,0,1513.51,1110.06,1985419.8,886091.45,2023,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",334802.39,0,258165.9,0.9,258165.9,0,0,0,0,3182.4,2623.15,3614322.6,1766757.37,2023,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1527205.25,0,1296503.1,0.9,1296503.1,0,0,0,0,11215.69,7905.3,18151043.4,8145534.2,2023,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",34831.51,0.03,30998.7,0.9,30998.7,15.47,8.72,43356.85,9958.06,464.02,261.69,1300705.45,298741.68,2023,33398.79,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10071.23,0,8972.1,0.9,8972.1,0,0,0,0,43.36,28.75,2557048.5,34358.03,2023,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2832.73,0,2506.5,0.9,2506.5,0,0,0,0,40.39,29.64,714352.5,35084.26,2023,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",16953.84,0,15140.7,0.9,15140.7,0,0,0,0,152.54,85.43,635303.77,95130.3,2023,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",54933.47,0,49113.9,0.9,49113.9,0,0,0,0,462.76,216.19,2060819.24,1175336.09,2023,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3850.63,0.04,3398.4,0.9,3398.4,3.15,3.07,6337.64,2608.31,70.78,69.11,142596.86,58686.89,2023,3729.33,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",121555.67,0.36,102838.5,0.9,102838.5,1068.36,737.39,987249.6,674732.25,2670.91,1843.47,2468124,1686830.62,2023,312517.35,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1463528.92,0.67,1289828.7,0.9,1289828.7,12639.62,7622.9,40290235.79,14141022.68,16978.59,10239.71,54121212.25,18995403.6,2023,26149213.11,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1617.37,0.28,1433.7,0.9,1433.7,8.06,5.5,127121.4,5757.43,25.9,17.66,408604.5,18506.01,2023,121363.97,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3282.11,0.89,2924.1,0.9,2924.1,40.52,13.31,824108.85,45250.26,40.98,13.46,833368.5,45758.69,2023,778858.59,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6509.3,0.88,5579.1,0.9,5579.1,64.22,43.38,130922.88,44914.17,65.68,44.37,133898.4,45934.95,2023,86008.71,"Bhutan","South Asia","Lower middle income"
"26","BWA",27437.12,0.22,23208.3,0.9,23208.3,159.65,107.62,238044.95,118900.01,653.13,440.27,973820.27,486409.13,2023,119144.94,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",80686.93,0,60967.8,0.9,60967.8,0,0,0,0,858.11,704.79,853549.2,681767.52,2023,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",198031.65,0.87,177165.9,0.9,177165.9,875.77,511.31,48809205.45,1698309.72,905.97,528.95,50492281.5,1756872.13,2023,47110895.73,"Canada","North America","High income"
"29","CHE",41849.01,0.71,37478.7,0.9,37478.7,115,63.33,8426461.05,148757.03,145.77,80.28,10681429.5,188565.25,2023,8277704.02,"Switzerland","Europe & Central Asia","High income"
"30","CHL",125549.05,0.57,111957.3,0.9,111957.3,898.61,626.03,2975227.93,839069.18,1418.86,988.47,4697728.31,1324846.08,2023,2136158.75,"Chile","Latin America & Caribbean","High income"
"31","CHN",8160978.86,0,7194000.6,0.9,7194000.6,0,0,0,0,63505.71,41025.21,301860265.18,45896184.32,2023,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",383521.63,0.41,306016.2,0.9,306016.2,3232.5,2531.88,3345777.12,1987714.03,7095.72,5557.79,7344388.8,4363274.7,2023,1358063.09,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",400599.35,0.05,317235.6,0.9,317235.6,393.35,291.22,422980.8,232799.39,7080.3,5241.92,7613654.4,4190389.05,2023,190181.41,"Cameroon","Sub-Saharan Africa","Lower middle income"
