"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",586313.3,0,486296.1,0.9,486296.1,0,0,0,0,3891.27,3016.28,6808145.4,2913863.86,2029,0,"Afghanistan","South Asia","Low income"
"2","AGO",607552.73,0,494922.6,0.9,494922.6,0,0,0,0,14756.04,10775.15,11878142.4,13072630.26,2029,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15769.14,0,14044.5,0.9,14044.5,0,0,0,0,85.09,52.44,589307.22,52250.33,2029,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",51179.24,0,45708.3,0.9,45708.3,0,0,0,0,367.72,282.26,13026865.5,260403.84,2029,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371507.59,0.53,329905.8,0.9,329905.8,2714.96,1815.48,8151899.01,9533595.78,4610.3,3082.89,13842847.37,16189124.91,2029,-1381696.77,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",19958.05,0.08,17709.3,0.9,17709.3,13.88,10.43,37779.84,9433.55,156.12,117.38,425023.2,106127.41,2029,28346.29,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",176527.09,0.66,158169.6,0.9,158169.6,575.53,315.98,33057446.4,896117.64,784.82,430.88,45078336,1221978.6,2029,32161328.76,"Australia","East Asia & Pacific","High income"
"8","AUT",44069.45,0,39522.6,0.9,39522.6,0,0,0,0,221.13,118.07,11263941,325828.68,2029,0,"Austria","Europe & Central Asia","High income"
"9","AZE",81914.61,0,71672.4,0.9,71672.4,0,0,0,0,450.12,306.11,1720137.6,329613.68,2029,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",212412.35,0,174824.1,0.9,174824.1,0,0,0,0,6466.1,5376.9,2447537.4,6330583.18,2029,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",64129.84,0.7,57480.3,0.9,57480.3,317.86,147.98,12741466.5,457025.87,408.68,190.26,16381885.5,587604.7,2029,12284440.63,"Belgium","Europe & Central Asia","High income"
"12","BEN",200922.27,0,160430.4,0.9,160430.4,0,0,0,0,1739.45,1277.6,2246025.6,1018372.02,2029,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",366056.42,0,292026.6,0.9,292026.6,0,0,0,0,3653,3015.46,4088372.4,2028019.36,2029,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1458022.22,0,1257659.1,0.9,1257659.1,0,0,0,0,10997.83,7769.51,17607227.4,7987308.35,2029,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",30904.25,0.03,27571.5,0.9,27571.5,13.86,7.88,38563.34,8923.72,415.82,236.37,1156900.14,267711.46,2029,29639.62,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10815.92,0,9654.3,0.9,9654.3,0,0,0,0,46.8,31.04,2751475.5,37083.88,2029,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2679.77,0,2372.4,0.9,2372.4,0,0,0,0,38.79,28.45,676134,33695.23,2029,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",13351.26,0,11943,0.9,11943,0,0,0,0,120.74,68.18,501128.28,75301.26,2029,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",55416.73,0,49661.1,0.9,49661.1,0,0,0,0,471.51,221.33,2083779.76,1197553.24,2029,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3948.34,0.04,3495.6,0.9,3495.6,3.3,3.22,6518.91,2732.78,74.16,72.45,146675.38,61487.58,2029,3786.13,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",119009.7,0.36,102228.3,0.9,102228.3,1074.1,751.98,981391.68,678353.63,2685.24,1879.94,2453479.2,1695884.08,2029,303038.05,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1445763.39,0.67,1280418.3,0.9,1280418.3,12710.13,7692.13,39996284.17,14219912.8,17073.31,10332.71,53726351.87,19101375.4,2029,25776371.37,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1503.93,0.28,1334.7,0.9,1334.7,7.61,5.2,118343.4,5440.06,24.48,16.71,380389.5,17485.91,2029,112903.34,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3166.85,0.89,2819.7,0.9,2819.7,39.23,12.91,794685.45,43802.15,39.67,13.06,803614.5,44294.31,2029,750883.3,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6472.52,0.88,5625.9,0.9,5625.9,65.38,44.27,132021.12,45729.5,66.87,45.28,135021.6,46768.81,2029,86291.62,"Bhutan","South Asia","Lower middle income"
"26","BWA",28303.4,0.22,24154.2,0.9,24154.2,170.05,115.28,247746.95,126646.02,695.68,471.58,1013510.23,518097.35,2029,121100.93,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",79869.67,0,62241.3,0.9,62241.3,0,0,0,0,895.93,737.23,871378.2,711822.44,2029,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",201238.45,0.87,180079.2,0.9,180079.2,895.99,526.47,49611819.6,1737506.46,926.88,544.63,51322572,1797420.47,2029,47874313.14,"Canada","North America","High income"
"29","CHE",45137.63,0.71,40445.1,0.9,40445.1,125.22,69.33,9093406.65,161983.68,158.73,87.88,11526853.5,205331.42,2029,8931422.97,"Switzerland","Europe & Central Asia","High income"
"30","CHL",114825.8,0.57,102555,0.9,102555,832.38,582.12,2725364.94,777226.7,1314.29,919.14,4303207.8,1227200.06,2029,1948138.24,"Chile","Latin America & Caribbean","High income"
"31","CHN",8087695.24,0,7184601,0.9,7184601,0,0,0,0,63865.38,41376.66,301465857.96,46156123.8,2029,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",431082.18,0.41,351846.9,0.9,351846.9,3815.39,2995.76,3846859.44,2346145.89,8375.25,6576.06,8444325.6,5150076.35,2029,1500713.55,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",430807.69,0.05,351287.1,0.9,351287.1,442.79,328.59,468382.8,262062.18,7970.3,5914.55,8430890.4,4717119.29,2029,206320.62,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1659469.51,0,1328099.4,0.9,1328099.4,0,0,0,0,32061.96,25527.01,18593391.6,28434601.13,2029,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",83992.46,0,71306.1,0.9,71306.1,0,0,0,0,1327.01,917.92,1711346.4,491645.16,2029,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",366039.68,0.11,324090.9,0.9,324090.9,649.97,451.12,1662082.18,596360.64,5317.91,3690.98,13598854.16,4879314.35,2029,1065721.54,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",12529.04,0,10416.6,0.9,10416.6,0,0,0,0,436.02,338.72,145832.4,259093.29,2029,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5207.79,0,4587.3,0.9,4587.3,0,0,0,0,75.87,68.68,192483.11,42452.6,2029,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",34756.38,0.59,30987,0.9,30987,188.34,172.26,852362.85,173503.08,287.29,262.76,1300214.52,264665.71,2029,678859.77,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6652.27,0,5968.8,0.9,5968.8,0,0,0,0,32.2,42.23,1701108,25763.3,2029,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",55638.47,0,49914,0.9,49914,0,0,0,0,434.56,268.4,14225490,631287.54,2029,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",401284.2,0.47,359714.7,0.9,359714.7,1252.58,646.9,53537537.85,1835772.41,2398.55,1238.75,102518689.5,3515308.87,2029,51701765.44,"Germany","Europe & Central Asia","High income"
"43","DJI",10538.42,0,8757,0.9,8757,0,0,0,0,106.08,84.35,210168,65888.28,2029,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",30428.77,0.8,27267.3,0.9,27267.3,212.47,103.33,6907716,301458.37,239.03,116.25,7771180.5,339140.67,2029,6606257.63,"Denmark","Europe & Central Asia","High income"
"45","DOM",100932.44,0.08,87867,0.9,87867,171.68,141.53,327724.38,150743.21,1931.44,1592.19,3686899.32,1695861.11,2029,176981.17,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",508852.75,0,445806,0.9,445806,0,0,0,0,3949.68,2603.56,18706019.76,2256971.29,2029,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",164298.05,0.03,145432.8,0.9,145432.8,101.82,72.04,203412.01,62834.65,3054.59,2161.16,6102360.29,1885039.4,2029,140577.36,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1262813.47,0,1108945.8,0.9,1108945.8,0,0,0,0,4058.94,3091.37,46531365.77,5078726.64,2029,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",198557.59,0.77,178111.8,0.9,178111.8,777.71,394.05,43429593.9,1054350.8,909.01,460.58,50761863,1232358.08,2029,42375243.1,"Spain","Europe & Central Asia","High income"
"50","EST",6761.02,0.57,6062.4,0.9,6062.4,65.08,23.21,1094263.2,56717.87,102.76,36.65,1727784,89554.53,2029,1037545.33,"Estonia","Europe & Central Asia","High income"
"51","ETH",1720929.96,0.75,1443955.5,0.9,1443955.5,21776.9,17612.61,16846147.5,24310115.65,26132.28,21135.14,20215377,29172138.78,2029,-7463968.15,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",27206.38,0,24432.3,0.9,24432.3,0,0,0,0,104.08,46.52,6963205.5,152210.85,2029,0,"Finland","Europe & Central Asia","High income"
"53","FJI",8820.99,0,7742.7,0.9,7742.7,0,0,0,0,225.82,186.28,324883.69,186957.29,2029,0,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",367538.71,0.37,329368.5,0.9,329368.5,962.32,462.58,38591009.25,1334057.79,2340.78,1125.19,93870022.5,3245005.42,2029,37256951.46,"France","Europe & Central Asia","High income"
"55","FSM",1192.98,0.32,1043.1,0.9,1043.1,11.23,9.37,15562.12,7864.82,31.57,26.34,43768.48,22119.8,2029,7697.3,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",32798.06,0,27967.5,0.9,27967.5,0,0,0,0,730.77,450.27,1173516.3,324128.43,2029,0,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",390304.47,0.59,349726.5,0.9,349726.5,1571.3,600.61,65340567.75,2295926.85,2396.89,916.19,99672052.5,3502261.3,2029,63044640.9,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",26520.6,0.12,23617.8,0.9,23617.8,32.33,21.65,75576.96,23162,242.44,162.37,566827.2,173715.01,2029,52414.96,"Georgia","Europe & Central Asia","Upper middle income"
