"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",583909.27,0,482330.7,0.9,482330.7,0,0,0,0,3848.08,2981.95,6752629.8,2881524.53,2028,0,"Afghanistan","South Asia","Low income"
"2","AGO",598593.27,0,484702.2,0.9,484702.2,0,0,0,0,14402.98,10511.42,11632852.8,12759842.73,2028,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15878.83,0,14132.7,0.9,14132.7,0,0,0,0,85.56,52.71,593008.09,52535.79,2028,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",51854.47,0,46302.3,0.9,46302.3,0,0,0,0,372.08,285.53,13196155.5,263489.59,2028,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371564.87,0.53,329796.9,0.9,329796.9,2710.82,1811.54,8149208.11,9519071.13,4603.28,3076.2,13838277.92,16164460.41,2028,-1369863.02,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20162.61,0.08,17877.6,0.9,17877.6,13.99,10.51,38138.88,9507.1,157.34,118.24,429062.4,106954.92,2028,28631.78,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",174429.66,0.66,156333.6,0.9,156333.6,568.42,311.74,32673722.4,885048.08,775.12,425.1,44555076,1206883.74,2028,31788674.32,"Australia","East Asia & Pacific","High income"
"8","AUT",43407.92,0,38905.2,0.9,38905.2,0,0,0,0,217.42,116.01,11087982,320361.91,2028,0,"Austria","Europe & Central Asia","High income"
"9","AZE",83120.27,0,72579.6,0.9,72579.6,0,0,0,0,455.16,309.45,1741910.4,333309.17,2028,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",209611.39,0,171657,0.9,171657,0,0,0,0,6328.39,5260.75,2403198,6195763.56,2028,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",64760.05,0.7,58034.7,0.9,58034.7,320.6,149.12,12864358.5,460969.73,412.2,191.73,16539889.5,592675.37,2028,12403388.77,"Belgium","Europe & Central Asia","High income"
"12","BEN",197660.07,0,157362.3,0.9,157362.3,0,0,0,0,1701.72,1249.58,2203072.2,996280.82,2028,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",360498.53,0,286280.1,0.9,286280.1,0,0,0,0,3572.6,2948.37,4007921.4,1983383.66,2028,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1466378.81,0,1261990.8,0.9,1261990.8,0,0,0,0,11017.52,7780.9,17667871.2,8001610.81,2028,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",31322.8,0.03,27948.6,0.9,27948.6,14.03,7.97,39090.78,9035.71,421.04,239.09,1172723.26,271071.17,2028,30055.07,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10705.75,0,9554.4,0.9,9554.4,0,0,0,0,46.3,30.7,2723004,36682.13,2028,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2642.92,0,2339.1,0.9,2339.1,0,0,0,0,38.16,27.99,666643.5,33146.91,2028,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",14026.61,0,12545.1,0.9,12545.1,0,0,0,0,126.76,71.49,526392.4,79055.55,2028,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",56892.68,0,50972.4,0.9,50972.4,0,0,0,0,483.4,226.76,2138801.9,1227754.86,2028,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3943.18,0.04,3488.4,0.9,3488.4,3.28,3.2,6505.48,2719.79,73.81,72.1,146373.26,61195.38,2028,3785.69,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",119516.36,0.36,102482.1,0.9,102482.1,1074.88,750.96,983828.16,678847.86,2687.2,1877.41,2459570.4,1697119.64,2028,304980.3,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1446574.78,0.67,1280485.8,0.9,1280485.8,12687.4,7674.94,39998392.66,14194479.44,17042.78,10309.62,53729184.17,19067211.19,2028,25803913.22,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1505.24,0.28,1335.6,0.9,1335.6,7.6,5.19,118423.2,5432.13,24.44,16.68,380646,17460.42,2028,112991.07,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3254.26,0.89,2898,0.9,2898,40.29,13.26,816753,44990.1,40.74,13.4,825930,45495.61,2028,771762.9,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6407.56,0.88,5560.2,0.9,5560.2,64.52,43.67,130479.36,45126.53,65.99,44.67,133444.8,46152.13,2028,85352.83,"Bhutan","South Asia","Lower middle income"
"26","BWA",28327.44,0.22,24142.5,0.9,24142.5,169.34,114.69,247626.94,126112.63,692.75,469.18,1013019.3,515915.32,2028,121514.31,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",79988.72,0,62027.1,0.9,62027.1,0,0,0,0,889.6,731.8,868379.4,706787.39,2028,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",201179.49,0.87,180015.3,0.9,180015.3,894.82,525.34,49594215.15,1735246.16,925.68,543.46,51304360.5,1795082.24,2028,47858968.99,"Canada","North America","High income"
"29","CHE",44771.48,0.71,40105.8,0.9,40105.8,124.02,68.62,9017120.7,160432.27,157.21,86.98,11430153,203364.85,2028,8856688.43,"Switzerland","Europe & Central Asia","High income"
"30","CHL",117754.37,0.57,105075,0.9,105075,851.47,595.16,2792333.1,795053.94,1344.43,939.73,4408947,1255348.32,2028,1997279.16,"Chile","Latin America & Caribbean","High income"
"31","CHN",8144393.04,0,7227900,0.9,7227900,0,0,0,0,64184.46,41566.02,303282684,46386726.37,2028,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",422665.3,0.41,343866.6,0.9,343866.6,3712.9,2914.12,3759608.16,2283122.29,8150.27,6396.85,8252798.4,5011731.85,2028,1476485.87,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",426462.4,0.05,346076.1,0.9,346076.1,435.07,322.73,461434.8,257491.29,7831.28,5809.17,8305826.4,4634843.26,2028,203943.51,"Cameroon","Sub-Saharan Africa","Lower middle income"
