"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",579642.24,0,474921.9,0.9,474921.9,0,0,0,0,3765.46,2916.22,6648906.6,2819654,2026,0,"Afghanistan","South Asia","Low income"
"2","AGO",582462.52,0,464741.1,0.9,464741.1,0,0,0,0,13716.02,9998.46,11153786.4,12151251.74,2026,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",16222.07,0,14415.3,0.9,14415.3,0,0,0,0,87.1,53.62,604865.99,53479.85,2026,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",52902.64,0,47216.7,0.9,47216.7,0,0,0,0,378.55,290.35,13456759.5,268071.09,2026,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",371313.42,0.53,329267.7,0.9,329267.7,2699.5,1801.39,8136131.7,9479328.92,4584.06,3058.96,13816072.69,16096973.64,2026,-1343197.22,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20488.08,0.08,18136.8,0.9,18136.8,14.14,10.61,38691.84,9609.77,159.04,119.39,435283.2,108109.93,2026,29082.07,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",169382.32,0.66,151772.4,0.9,151772.4,550.93,301.39,31720431.6,857817.62,751.27,410.99,43255134,1169751.3,2026,30862613.98,"Australia","East Asia & Pacific","High income"
"8","AUT",41975.29,0,37610.1,0.9,37610.1,0,0,0,0,209.64,111.7,10718878.5,308888.8,2026,0,"Austria","Europe & Central Asia","High income"
"9","AZE",85355.84,0,74195.1,0.9,74195.1,0,0,0,0,463.93,315.21,1780682.4,339731.33,2026,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",203816.21,0,164998.8,0.9,164998.8,0,0,0,0,6042.54,5019.97,2309983.2,5915902.28,2026,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",65772.08,0.7,58944.6,0.9,58944.6,324.92,150.82,13066053,467172.98,417.75,193.91,16799211,600650.98,2026,12598880.02,"Belgium","Europe & Central Asia","High income"
"12","BEN",191342.43,0,151392.6,0.9,151392.6,0,0,0,0,1628.65,1195.35,2119496.4,953502.83,2026,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",349750.09,0,274923.9,0.9,274923.9,0,0,0,0,3414.41,2816.44,3848934.6,1895563.89,2026,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1489329.99,0,1275795.9,0.9,1275795.9,0,0,0,0,11099.29,7833.04,17861142.6,8060992.76,2026,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",32065.9,0.03,28561.5,0.9,28561.5,14.31,8.11,39948.02,9211.65,429.24,243.15,1198440.54,276349.55,2026,30736.37,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10622.81,0,9475.2,0.9,9475.2,0,0,0,0,45.87,30.41,2700432,36341.51,2026,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2557.02,0,2261.7,0.9,2261.7,0,0,0,0,36.73,26.94,644584.5,31903.49,2026,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",15294.24,0,13671.9,0.9,13671.9,0,0,0,0,137.99,77.63,573672.92,86060.25,2026,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",59552.93,0,53322.3,0.9,53322.3,0,0,0,0,504.45,236.28,2237403.71,1281220.36,2026,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3922.64,0.04,3465.9,0.9,3465.9,3.24,3.16,6463.52,2686.54,72.9,71.21,145429.16,60447.19,2026,3776.98,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",120697.52,0.36,103011.3,0.9,103011.3,1076.5,748.72,988908.48,679873.1,2691.26,1871.8,2472271.2,1699682.74,2026,309035.38,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1450019.92,0.67,1281713.4,0.9,1281713.4,12648.69,7643.61,40036739.06,14151166.12,16990.77,10267.53,53780694.26,19009029.11,2026,25885572.94,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1510.89,0.28,1340.1,0.9,1340.1,7.59,5.18,118822.2,5425.16,24.41,16.65,381928.5,17438.01,2026,113397.04,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3433.29,0.89,3058.2,0.9,3058.2,42.46,13.96,861902.7,47416.8,42.94,14.12,871587,47949.57,2026,814485.9,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6285.67,0.88,5429.7,0.9,5429.7,62.81,42.48,127416.96,43929.13,64.23,43.45,130312.8,44927.52,2026,83487.83,"Bhutan","South Asia","Lower middle income"
"26","BWA",28270.01,0.22,24063.3,0.9,24063.3,167.5,113.23,246814.59,124742.25,685.22,463.23,1009696.07,510309.2,2026,122072.34,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",80468.95,0,61715.7,0.9,61715.7,0,0,0,0,878.63,722.33,864019.8,698075.14,2026,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",197695.84,0.87,176892.3,0.9,176892.3,877.49,514.17,48733828.65,1701644.38,907.75,531.9,50414305.5,1760321.77,2026,47032184.27,"Canada","North America","High income"
"29","CHE",43497.92,0.71,38949.3,0.9,38949.3,120.12,66.36,8757100.95,155385.22,152.27,84.12,11100550.5,196967.18,2026,8601715.73,"Switzerland","Europe & Central Asia","High income"
"30","CHL",123423.48,0.57,110131.2,0.9,110131.2,889.34,620.9,2926699.93,830407.07,1404.22,980.37,4621105.15,1311169.05,2026,2096292.86,"Chile","Latin America & Caribbean","High income"
"31","CHN",8247786.68,0,7303111.2,0.9,7303111.2,0,0,0,0,64709.31,41867.98,306438545.95,46766037.83,2026,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",406356.98,0.41,328367.7,0.9,328367.7,3514.93,2756.51,3590153.52,2161390.63,7715.71,6050.87,7880824.8,4744516.01,2026,1428762.89,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",417802.21,0.05,335646.9,0.9,335646.9,419.71,311.1,447529.2,248399,7554.75,5599.72,8055525.6,4471181.93,2026,199130.2,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1570039.61,0,1239111.9,0.9,1239111.9,0,0,0,0,29638.89,23574.36,17347566.6,26285671.4,2026,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",82334.96,0,69510.6,0.9,69510.6,0,0,0,0,1275.98,880.68,1668254.4,472739.25,2026,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",362783.78,0.11,320603.4,0.9,320603.4,639.24,442.89,1644196.73,586520.85,5230.16,3623.68,13452518.66,4798806.96,2026,1057675.88,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",12253.21,0,10102.5,0.9,10102.5,0,0,0,0,419.01,325.03,141435,248983.68,2026,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5361.44,0,4705.2,0.9,4705.2,0,0,0,0,77.53,70.15,197430.19,43382.61,2026,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",35436.16,0.59,31562.1,0.9,31562.1,191.18,174.31,868182.19,176126.36,291.64,265.89,1324345.72,268667.32,2026,692055.83,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6751.14,0,6055.2,0.9,6055.2,0,0,0,0,32.57,42.51,1725732,26056.45,2026,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",53970.32,0,48406.5,0.9,48406.5,0,0,0,0,419.81,258.57,13795852.5,609857.35,2026,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",377628.56,0.47,338428.8,0.9,338428.8,1175.13,605.2,50369486.4,1722274.07,2250.26,1158.89,96452208,3297971.63,2026,48647212.33,"Germany","Europe & Central Asia","High income"
"43","DJI",10860.92,0,8946,0.9,8946,0,0,0,0,107.22,85.14,214704,66597.13,2026,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",29002.09,0.8,25993.8,0.9,25993.8,201.84,97.75,6585096,286372.59,227.07,109.97,7408233,322169.17,2026,6298723.41,"Denmark","Europe & Central Asia","High income"
"45","DOM",100796.45,0.08,87717.6,0.9,87717.6,169.93,139.89,327167.16,149202,1911.69,1573.79,3680630.5,1678522.55,2026,177965.16,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",480957.29,0,420660,0.9,420660,0,0,0,0,3706.86,2441.63,17650893.6,2118213.67,2026,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",161176.27,0.03,142344,0.9,142344,98.97,69.91,199091.81,61078.05,2969.2,2097.34,5972754.24,1832341.61,2026,138013.76,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1271977.78,0,1113366.6,0.9,1113366.6,0,0,0,0,4029.12,3061.46,46716862.54,5041412.55,2026,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",212557.69,0.77,190530.9,0.9,190530.9,829.86,419.72,46457784.45,1125056.53,969.96,490.58,54301306.5,1315001.14,2026,45332727.92,"Spain","Europe & Central Asia","High income"
"50","EST",7216.62,0.57,6465.6,0.9,6465.6,69.17,24.61,1167040.8,60285.05,109.22,38.85,1842696,95186.92,2026,1106755.75,"Estonia","Europe & Central Asia","High income"
"51","ETH",1657304.48,0.75,1370822.4,0.9,1370822.4,20484.62,16548.94,15992928,22867505.26,24581.54,19858.73,19191513.6,27441006.31,2026,-6874577.26,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",29871,0,26804.7,0.9,26804.7,0,0,0,0,113.87,50.73,7639339.5,166541.25,2026,0,"Finland","Europe & Central Asia","High income"
"53","FJI",8790.95,0,7715.7,0.9,7715.7,0,0,0,0,222.22,182.75,323750.77,183975.68,2026,0,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",387858.77,0.37,347574.6,0.9,347574.6,1012.1,485.82,40724157.3,1403064.79,2461.86,1181.74,99058761,3412860.31,2026,39321092.51,"France","Europe & Central Asia","High income"
"55","FSM",1163.62,0.32,1015.2,0.9,1015.2,10.84,9.02,15145.88,7591.99,30.48,25.37,42597.79,21352.48,2026,7553.89,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",30407.42,0,25741.8,0.9,25741.8,0,0,0,0,665.81,409.12,1080125.93,295316.23,2026,0,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",406821.52,0.59,364244.4,0.9,364244.4,1632.89,621.88,68052995.4,2385919.83,2490.84,948.64,103809654,3639538.72,2026,65667075.57,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",28008.37,0.12,24887.7,0.9,24887.7,33.91,22.67,79640.64,24295.12,254.3,170.03,597304.8,182213.38,2026,55345.52,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",415442.72,0,345402.9,0.9,345402.9,0,0,0,0,9217.15,6835.17,8289669.6,15434844.26,2026,0,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",214607.76,0,167918.4,0.9,167918.4,0,0,0,0,6040.35,4834.48,2350857.6,4882396.8,2026,0,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",38691.4,0.3,31884.3,0.9,31884.3,484.44,439.36,148793.4,561534.29,1453.33,1318.09,446380.2,1684602.88,2026,-412740.89,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",31205.74,0,24963.3,0.9,24963.3,0,0,0,0,768.68,628.67,349486.2,511409.14,2026,0,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",19540.55,0,15658.2,0.9,15658.2,0,0,0,0,365.08,240.26,4462587,169556.17,2026,0,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",44113.26,0,39542.4,0.9,39542.4,0,0,0,0,335.62,158.97,11269584,424857.58,2026,0,"Greece","Europe & Central Asia","High income"
"65","GTM",201230.17,0.15,175068.9,0.9,175068.9,592.94,423.67,1224315.17,395322.89,3557.64,2542.02,7345891.04,2371937.32,2026,828992.28,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",7368.39,0.02,6406.2,0.9,6406.2,3.79,2.41,3416.64,3185.13,170.74,108.5,153748.8,143330.74,2026,231.51,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",98234.15,0.53,86370.3,0.9,86370.3,813.62,562.22,1220700.24,782009.6,1381.62,954.71,2072887.2,1327940.82,2026,438690.64,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",19233.46,0,17226,0.9,17226,0,0,0,0,162.21,82.38,4909410,222423.72,2026,0,"Croatia","Europe & Central Asia","High income"
"69","HTI",132961.42,0,108369,0.9,108369,0,0,0,0,1418.26,1169.59,1517166,1232738.12,2026,0,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",43460.82,0.82,38866.5,0.9,38866.5,499.45,215.84,10092334.5,436282.94,548.18,236.9,11076952.5,478847.13,2026,9656051.56,"Hungary","Europe & Central Asia","High income"
"71","IDN",2475038.51,0.05,2152555.2,0.9,2152555.2,2570.99,1822.69,2870073.6,1770188.66,46277.88,32808.41,51661324.8,31863395.96,2026,1099884.94,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",11762069.68,0,9917725.5,0.9,9917725.5,0,0,0,0,193833.66,143752.65,238025412,124121742.15,2026,0,"India","South Asia","Lower middle income"
"73","IRL",34757.03,0.71,31152.6,0.9,31152.6,215.85,94.57,7004142.9,316032.35,273.61,119.88,8878491,400604.38,2026,6688110.55,"Ireland","Europe & Central Asia","High income"
"74","IRN",701486.75,0,618156.9,0.9,618156.9,0,0,0,0,2185.53,1852.63,25937863.52,3784209.38,2026,0,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
