"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,3583.62,2774.75,2014,"Afghanistan","South Asia","Low income"
"2","AGO",1,10327.97,7530.31,2014,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,121.51,73.7,2014,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,257.8,194.3,2014,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4799.15,3137.86,2014,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,132.36,97.53,2014,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,684.52,369.9,2014,"Australia","East Asia & Pacific","High income"
"8","AUT",1,226.1,118.17,2014,"Austria","Europe & Central Asia","High income"
"9","AZE",1,368.84,248.94,2014,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,4476.64,3734.92,2014,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,426.49,194.17,2014,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1424.96,1050,2014,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,2887.3,2394.55,2014,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,13336.93,9322.69,2014,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,445.72,243.46,2014,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,38.06,25.19,2014,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,51.59,37.95,2014,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,175.17,97.12,2014,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,392.61,180.6,2014,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,80.68,78.66,2014,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3005.68,2279.39,2014,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,21446.19,12954.72,2014,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,34.22,23.27,2014,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,47.5,15.56,2014,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,79.03,52.83,2014,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,702.1,488.94,2014,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,854.18,701.17,2014,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,924.63,530.57,2014,"Canada","North America","High income"
"29","CHE",1,150.34,81.94,2014,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1505.27,1034.86,2014,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,66792.83,42328.95,2014,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,6565.47,5096.28,2014,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,6266.96,4642.34,2014,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,23120.11,18510.39,2014,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,1079.7,751.12,2014,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,6651.54,4565.15,2014,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",1,357.66,275.78,2014,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",1,81.99,73.36,2014,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",1,330.51,296.97,2014,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",1,33.92,42.55,2014,"Cyprus","Europe & Central Asia","High income"
"41","CZE",1,390.04,236.56,2014,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",1,2490.44,1255.63,2014,"Germany","Europe & Central Asia","High income"
"43","DJI",1,105.24,84.12,2014,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",1,280.58,131.14,2014,"Denmark","Europe & Central Asia","High income"
"45","DOM",1,2028.8,1657.18,2014,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",1,2373.57,1555.08,2014,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",1,3133.42,2202.76,2014,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1,2958.68,2229.02,2014,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",1,1086.18,542.59,2014,"Spain","Europe & Central Asia","High income"
"50","EST",1,101.05,35.46,2014,"Estonia","Europe & Central Asia","High income"
"51","ETH",1,22933.36,18511.45,2014,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",1,121.13,53.19,2014,"Finland","Europe & Central Asia","High income"
"53","FJI",1,203,165.63,2014,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",1,2719.58,1294.57,2014,"France","Europe & Central Asia","High income"
"55","FSM",1,28.06,21.6,2014,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",1,490.37,300.01,2014,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",1,2352.34,872.7,2014,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",1,207.81,137.58,2014,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",1,7761.04,5669,2014,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",1,5542.52,4441.49,2014,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",1,1038.81,931.15,2014,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",1,602.34,489.74,2014,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",1,249.83,164.45,2014,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",1,443.9,208.57,2014,"Greece","Europe & Central Asia","High income"
"65","GTM",1,4098.17,2947.78,2014,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",1,210.75,133.14,2014,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",1,1714.95,1177.33,2014,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",1,185.4,92.55,2014,"Croatia","Europe & Central Asia","High income"
"69","HTI",1,1586.71,1316.44,2014,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",1,662.15,280.93,2014,"Hungary","Europe & Central Asia","High income"
"71","IDN",1,50911.97,36314.7,2014,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",1,211193.3,151939.88,2014,"India","South Asia","Lower middle income"
"73","IRL",1,257.19,110.64,2014,"Ireland","Europe & Central Asia","High income"
"74","IRN",1,1788.24,1492.45,2014,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
"75","IRQ",1,837.34,647.56,2014,"Iraq","Middle East & North Africa","Upper middle income"
"76","ISL",1,12.09,7.59,2014,"Iceland","Europe & Central Asia","High income"
"77","ISR",1,324.95,224.68,2014,"Israel","Middle East & North Africa","High income"
"78","ITA",1,1566.83,594,2014,"Italy","Europe & Central Asia","High income"
"79","JAM",1,497.43,363.43,2014,"Jamaica","Latin America & Caribbean","Upper middle income"
"80","JOR",1,360.73,288.38,2014,"Jordan","Middle East & North Africa","Upper middle income"
"81","JPN",1,6426.63,2362.98,2014,"Japan","East Asia & Pacific","High income"
"82","KAZ",1,1418.8,743.09,2014,"Kazakhstan","Europe & Central Asia","Upper middle income"
"83","KEN",1,14440.82,10191.7,2014,"Kenya","Sub-Saharan Africa","Lower middle income"
"84","KGZ",1,687.83,479.32,2014,"Kyrgyz Republic","Europe & Central Asia","Lower middle income"
"85","KHM",1,1832.66,1307.11,2014,"Cambodia","East Asia & Pacific","Lower middle income"
"86","KIR",1,29.53,24.25,2014,"Kiribati","East Asia & Pacific","Lower middle income"
"87","KOR",1,1940.14,1051.51,2014,"Korea, Rep.","East Asia & Pacific","High income"
"88","KWT",1,59.71,44.11,2014,"Kuwait","Middle East & North Africa","High income"
"89","LAO",1,750.03,512.6,2014,"Lao PDR","East Asia & Pacific","Lower middle income"
"90","LBN",1,250.51,179.71,2014,"Lebanon","Middle East & North Africa","Lower middle income"
"91","LBR",1,1897.83,1561.58,2014,"Liberia","Sub-Saharan Africa","Low income"
"92","LBY",1,433.36,335.85,2014,"Libya","Middle East & North Africa","Upper middle income"
"93","LCA",1,29.34,23.33,2014,"St. Lucia","Latin America & Caribbean","Upper middle income"
