"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,3230.74,2499.36,2011,"Afghanistan","South Asia","Low income"
"2","AGO",1,9056.44,6589.02,2011,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,148.51,89.93,2011,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,248.11,186.76,2011,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4705.88,3067.09,2011,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,132.9,97.7,2011,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,678.31,363.96,2011,"Australia","East Asia & Pacific","High income"
"8","AUT",1,229.7,119.55,2011,"Austria","Europe & Central Asia","High income"
"9","AZE",1,399.79,269.54,2011,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,4057.68,3380.76,2011,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,420.24,190.29,2011,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1310.55,964.91,2011,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,2597.68,2151.93,2011,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,13260.66,9256.25,2011,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,424.74,230.84,2011,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,36.82,24.37,2011,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,51.36,37.79,2011,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,225.56,124.44,2011,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,393.98,180.72,2011,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,78.03,76.05,2011,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,2911.62,2197.94,2011,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,22230.88,13398.62,2011,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,33.77,22.96,2011,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,48.39,15.83,2011,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,82.2,54.88,2011,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,663.14,460.59,2011,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,790.24,647.94,2011,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,957.67,546.75,2011,"Canada","North America","High income"
"29","CHE",1,154.01,83.53,2011,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1578.94,1082.22,2011,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,70075.07,44317.51,2011,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,6052.4,4691.32,2011,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,5633.71,4166.81,2011,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,20410.5,16321.25,2011,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,967.28,670.89,2011,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,6690.35,4578.24,2011,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",1,335.3,258.24,2011,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",1,82.48,73.73,2011,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",1,351.91,314.45,2011,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",1,35.94,44.69,2011,"Cyprus","Europe & Central Asia","High income"
"41","CZE",1,360.08,217.4,2011,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",1,2570.94,1289.53,2011,"Germany","Europe & Central Asia","High income"
"43","DJI",1,103.93,82.98,2011,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",1,287.44,133.4,2011,"Denmark","Europe & Central Asia","High income"
"45","DOM",1,2028,1653.66,2011,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",1,2447.19,1601.67,2011,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",1,3124.38,2190.44,2011,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1,2893.53,2173.46,2011,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",1,1101.03,547.77,2011,"Spain","Europe & Central Asia","High income"
"50","EST",1,92.7,32.39,2011,"Estonia","Europe & Central Asia","High income"
"51","ETH",1,21491.91,17326.79,2011,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",1,121.29,52.92,2011,"Finland","Europe & Central Asia","High income"
"53","FJI",1,203.75,165.63,2011,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",1,2633.6,1250.44,2011,"France","Europe & Central Asia","High income"
"55","FSM",1,29.36,22.51,2011,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",1,462.68,282.18,2011,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",1,2445.36,901.89,2011,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",1,224.1,148.05,2011,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",1,7304.51,5316.1,2011,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",1,5121.73,4096.71,2011,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",1,945.02,844.85,2011,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",1,556.16,451.51,2011,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",1,218.1,143.57,2011,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",1,459.2,214.79,2011,"Greece","Europe & Central Asia","High income"
"65","GTM",1,3881.97,2787.31,2011,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",1,222.43,140.21,2011,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",1,1705.94,1171.35,2011,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",1,219.55,109.05,2011,"Croatia","Europe & Central Asia","High income"
"69","HTI",1,1527.48,1265.8,2011,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",1,666.99,281.71,2011,"Hungary","Europe & Central Asia","High income"
"71","IDN",1,50144.63,35681.5,2011,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",1,206323.86,148075.44,2011,"India","South Asia","Lower middle income"
"73","IRL",1,247.96,106.09,2011,"Ireland","Europe & Central Asia","High income"
"74","IRN",1,1796.36,1495.66,2011,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
"75","IRQ",1,781.74,603.91,2011,"Iraq","Middle East & North Africa","Upper middle income"
"76","ISL",1,12.12,7.6,2011,"Iceland","Europe & Central Asia","High income"
