"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4221.86,3275.27,2021,"Afghanistan","South Asia","Low income"
"2","AGO",1,14022.07,10275.75,2021,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,87.46,53.24,2021,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,361.86,273.52,2021,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4954.45,3261.47,2021,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,163.52,121.1,2021,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,812.85,445.61,2021,"Australia","East Asia & Pacific","High income"
"8","AUT",1,228.89,120.66,2021,"Austria","Europe & Central Asia","High income"
"9","AZE",1,423.06,286.28,2021,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,6131.14,5131.21,2021,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,473.9,218.21,2021,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1744.37,1287.93,2021,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3675.44,3056.1,2021,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12614.64,8845.43,2021,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,553.81,305.86,2021,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,46.8,30.99,2021,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,50.09,36.81,2021,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,183.89,103.07,2021,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,461.95,213.8,2021,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,77.6,75.72,2021,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3068.53,2351.08,2021,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19389.39,11768.23,2021,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,31.55,21.48,2021,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,43.18,14.18,2021,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,73.26,49.1,2021,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,816.6,572.09,2021,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,982.23,808.34,2021,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,1027.3,595.88,2021,"Canada","North America","High income"
"29","CHE",1,160.05,88.09,2021,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1574.14,1088.96,2021,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,68733.45,43758.45,2021,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,7623.14,5937.6,2021,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,7829.42,5821.44,2021,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,30734.41,24678.61,2021,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,1420.38,995.26,2021,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,6088.54,4205.03,2021,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",1,423.5,327.44,2021,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",1,80.68,72.35,2021,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",1,325.14,295.51,2021,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",1,36.02,46.04,2021,"Cyprus","Europe & Central Asia","High income"
"41","CZE",1,502.4,307.62,2021,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",1,2457.15,1252.24,2021,"Germany","Europe & Central Asia","High income"
"43","DJI",1,105.04,84.17,2021,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",1,286.48,135.88,2021,"Denmark","Europe & Central Asia","High income"
"45","DOM",1,2072.58,1699.48,2021,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",1,3471.18,2279.31,2021,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",1,3225.12,2280.34,2021,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1,3550.67,2692.5,2021,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",1,1266.23,637.68,2021,"Spain","Europe & Central Asia","High income"
"50","EST",1,128.28,45.4,2021,"Estonia","Europe & Central Asia","High income"
"51","ETH",1,25496.81,20636.41,2021,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",1,133.02,59.17,2021,"Finland","Europe & Central Asia","High income"
"53","FJI",1,237.56,195.44,2021,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",1,2810.42,1344.78,2021,"France","Europe & Central Asia","High income"
"55","FSM",1,29.05,22.59,2021,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",1,632.64,389.91,2021,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",1,2740.89,1029.79,2021,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",1,255.75,170.13,2021,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",1,9293.28,6845.41,2021,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",1,6611.26,5321.54,2021,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",1,1360.5,1226.96,2021,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",1,759.94,620.1,2021,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",1,344.59,226.77,2021,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",1,453.67,215.08,2021,"Greece","Europe & Central Asia","High income"
"65","GTM",1,4100.84,2960.89,2021,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",1,180.47,114.57,2021,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",1,1682.37,1154.64,2021,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",1,198.56,100.18,2021,"Croatia","Europe & Central Asia","High income"
"69","HTI",1,1702.28,1416.11,2021,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",1,670.97,287.44,2021,"Hungary","Europe & Central Asia","High income"
"71","IDN",1,50733.26,36379.74,2021,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",1,216595.56,156682.45,2021,"India","South Asia","Lower middle income"
"73","IRL",1,319.07,138.87,2021,"Ireland","Europe & Central Asia","High income"
"74","IRN",1,2125.2,1782.51,2021,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
"75","IRQ",1,968.94,751.21,2021,"Iraq","Middle East & North Africa","Upper middle income"
"76","ISL",1,13.27,8.35,2021,"Iceland","Europe & Central Asia","High income"
"77","ISR",1,380.55,265.8,2021,"Israel","Middle East & North Africa","High income"
