"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4350.73,3378.59,2025,"Afghanistan","South Asia","Low income"
"2","AGO",1,15908.33,11688.17,2025,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,96.94,59.11,2025,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,406.5,307.72,2025,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,5119.77,3379.91,2025,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,174.01,129.16,2025,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,843.26,464.7,2025,"Australia","East Asia & Pacific","High income"
"8","AUT",1,231.97,122.67,2025,"Austria","Europe & Central Asia","High income"
"9","AZE",1,518.35,351.2,2025,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,7145.45,5989.45,2025,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,475.16,219.74,2025,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1933.1,1428.89,2025,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,4059.08,3379.58,2025,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12417.71,8720.06,2025,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,489.64,271.66,2025,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,50.99,33.77,2025,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,41.38,30.39,2025,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,162.05,91.26,2025,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,565.38,262.38,2025,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,81.1,79.16,2025,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3110.05,2394.77,2025,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19312.11,11745.28,2025,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,28.32,19.3,2025,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,49.18,16.17,2025,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,68.9,46.24,2025,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,883.96,621.01,2025,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,1020.33,840.8,2025,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,1016.5,592.11,2025,"Canada","North America","High income"
"29","CHE",1,169.25,93.46,2025,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1593.94,1105.42,2025,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,71432.98,45573.2,2025,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,8538.96,6663.28,2025,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,8632.9,6431.91,2025,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,35349.71,28428.35,2025,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,1577.91,1109.54,2025,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,5885.72,4075.7,2025,"Colombia","Latin America & Caribbean","Upper middle income"
