"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4282.76,3324.23,2023,"Afghanistan","South Asia","Low income"
"2","AGO",1,14958.39,10976.9,2023,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,91.99,56.05,2023,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,385.33,291.49,2023,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,5044.08,3325.72,2023,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,169.15,125.42,2023,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,829.61,456.17,2023,"Australia","East Asia & Pacific","High income"
"8","AUT",1,230.25,121.6,2023,"Austria","Europe & Central Asia","High income"
"9","AZE",1,473.88,320.88,2023,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,6645.9,5566.59,2023,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,475.32,219.41,2023,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1837.48,1357.46,2023,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3865.25,3216.16,2023,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12491.83,8766.18,2023,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,521.02,288.5,2023,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,48.59,32.18,2023,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,45.59,33.5,2023,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,172.49,96.93,2023,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,518.48,240.32,2023,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,79.54,77.63,2023,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3090.99,2374.54,2023,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19352.65,11759.11,2023,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,29.88,20.35,2023,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,46.49,15.28,2023,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,70.86,47.52,2023,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,853.52,598.86,2023,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,999.81,823.37,2023,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,1028.54,598.03,2023,"Canada","North America","High income"
"29","CHE",1,165.71,91.38,2023,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1587.97,1100.06,2023,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,70217.8,44754.43,2023,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,8072.68,6293.82,2023,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,8233.62,6128.41,2023,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,33025.23,26539.5,2023,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
