"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4315.15,3350.13,2024,"Afghanistan","South Asia","Low income"
"2","AGO",1,15440.47,11337.36,2024,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,94.7,57.72,2024,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,397.78,301.01,2024,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,5085.38,3355.05,2024,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,172.01,127.61,2024,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,836.31,460.36,2024,"Australia","East Asia & Pacific","High income"
"8","AUT",1,230.68,121.91,2024,"Austria","Europe & Central Asia","High income"
"9","AZE",1,499.21,338.13,2024,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,6903.81,5784.7,2024,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,475.8,219.83,2024,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1885.71,1393.46,2024,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3962.15,3297.79,2024,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12448.34,8738.56,2024,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,504.53,279.64,2024,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,49.81,32.98,2024,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,43.2,31.73,2024,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,167.59,94.28,2024,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,545.99,253.23,2024,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,80.35,78.42,2024,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3102.06,2385.81,2024,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19322.74,11746.31,2024,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,29.02,19.77,2024,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,48.11,15.81,2024,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,69.65,46.73,2024,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,870.17,610.92,2024,"Botswana","Sub-Saharan Africa","Upper middle income"
