"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4250.92,3298.82,2022,"Afghanistan","South Asia","Low income"
"2","AGO",1,14492.88,10629.32,2022,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,89.82,54.72,2022,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,373.85,282.71,2022,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,5002.54,3296.31,2022,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,166.32,123.27,2022,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,821.21,451.08,2022,"Australia","East Asia & Pacific","High income"
"8","AUT",1,229.67,121.22,2022,"Austria","Europe & Central Asia","High income"
"9","AZE",1,449.45,304.25,2022,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,6392.72,5352.7,2022,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,474.76,218.95,2022,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1790.81,1322.66,2022,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3770.24,3136.24,2022,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12551.56,8805.28,2022,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,536.38,296.73,2022,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,47.65,31.55,2022,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,47.77,35.1,2022,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,177.65,99.73,2022,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,491.99,227.92,2022,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,78.73,76.83,2022,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3081.15,2364.25,2022,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19383.21,11772.35,2022,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,30.7,20.91,2022,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,45,14.78,2022,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,71.98,48.26,2022,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,836.37,586.47,2022,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,990.83,815.72,2022,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,1029.42,598.01,2022,"Canada","North America","High income"
"29","CHE",1,163.26,89.98,2022,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1583.32,1096.25,2022,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,69508.78,44283.16,2022,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,7850.35,6117.94,2022,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,8034.03,5977.21,2022,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,31879.83,25610.45,2022,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,1462.52,1025.96,2022,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,6039.94,4175.21,2022,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",1,434.09,335.78,2022,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",1,81.42,73.03,2022,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",1,326.7,297.4,2022,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",1,36.47,46.73,2022,"Cyprus","Europe & Central Asia","High income"
"41","CZE",1,494.55,303.23,2022,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",1,2468.59,1259.98,2022,"Germany","Europe & Central Asia","High income"
"43","DJI",1,111.95,89.75,2022,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",1,277.3,131.8,2022,"Denmark","Europe & Central Asia","High income"
"45","DOM",1,2085.97,1711.43,2022,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",1,3614.05,2373.93,2022,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",1,3262.3,2308.51,2022,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1,3816.21,2896.68,2022,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",1,1230.91,620.57,2022,"Spain","Europe & Central Asia","High income"
"50","EST",1,127.74,45.26,2022,"Estonia","Europe & Central Asia","High income"
"51","ETH",1,26090.42,21125.63,2022,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",1,133.11,59.32,2022,"Finland","Europe & Central Asia","High income"
"53","FJI",1,240.6,198.2,2022,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",1,2815.63,1348.23,2022,"France","Europe & Central Asia","High income"
"55","FSM",1,28.77,22.41,2022,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",1,663.09,409.15,2022,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",1,2770.23,1042.72,2022,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",1,264.32,175.96,2022,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",1,9582.08,7067.31,2022,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",1,6763.12,5447.75,2022,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",1,1417.4,1279.51,2022,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",1,783.17,639.42,2022,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",1,359.57,236.6,2022,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",1,438.63,208.21,2022,"Greece","Europe & Central Asia","High income"
"65","GTM",1,4146.43,2995.42,2022,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",1,182.68,116.06,2022,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",1,1667.8,1144.61,2022,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",1,194.91,98.48,2022,"Croatia","Europe & Central Asia","High income"
"69","HTI",1,1718.55,1430.2,2022,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",1,655.66,281.28,2022,"Hungary","Europe & Central Asia","High income"
"71","IDN",1,51945.36,37278.92,2022,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",1,213348.78,154459.96,2022,"India","South Asia","Lower middle income"
"73","IRL",1,319.94,139.48,2022,"Ireland","Europe & Central Asia","High income"
"74","IRN",1,2171.07,1822.29,2022,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
"75","IRQ",1,1006.5,780.64,2022,"Iraq","Middle East & North Africa","Upper middle income"
"76","ISL",1,13.27,8.36,2022,"Iceland","Europe & Central Asia","High income"
"77","ISR",1,391.75,274.01,2022,"Israel","Middle East & North Africa","High income"
"78","ITA",1,1592.41,610.91,2022,"Italy","Europe & Central Asia","High income"
"79","JAM",1,460.87,337.96,2022,"Jamaica","Latin America & Caribbean","Upper middle income"
"80","JOR",1,418.5,336.39,2022,"Jordan","Middle East & North Africa","Upper middle income"
"81","JPN",1,6290.9,2337.01,2022,"Japan","East Asia & Pacific","High income"
"82","KAZ",1,2387.74,1256.92,2022,"Kazakhstan","Europe & Central Asia","Upper middle income"
"83","KEN",1,17259.85,12213.49,2022,"Kenya","Sub-Saharan Africa","Lower middle income"
"84","KGZ",1,957.76,671.15,2022,"Kyrgyz Republic","Europe & Central Asia","Lower middle income"
"85","KHM",1,2124.13,1525.74,2022,"Cambodia","East Asia & Pacific","Lower middle income"
"86","KIR",1,40.23,33.27,2022,"Kiribati","East Asia & Pacific","Lower middle income"
"87","KOR",1,1770.19,973.63,2022,"Korea, Rep.","East Asia & Pacific","High income"
"88","KWT",1,81.39,60.29,2022,"Kuwait","Middle East & North Africa","High income"
"89","LAO",1,814.81,561.31,2022,"Lao PDR","East Asia & Pacific","Lower middle income"
"90","LBN",1,223.91,161.44,2022,"Lebanon","Middle East & North Africa","Lower middle income"
"91","LBR",1,2324.5,1921.68,2022,"Liberia","Sub-Saharan Africa","Low income"
"92","LBY",1,516.5,403.71,2022,"Libya","Middle East & North Africa","Upper middle income"
"93","LCA",1,23.6,18.84,2022,"St. Lucia","Latin America & Caribbean","Upper middle income"
"94","LKA",1,1735.78,1076.64,2022,"Sri Lanka","South Asia","Lower middle income"
"95","LSO",1,814.35,604.48,2022,"Lesotho","Sub-Saharan Africa","Lower middle income"
"96","LTU",1,209.72,101.71,2022,"Lithuania","Europe & Central Asia","High income"
"97","LUX",1,20.07,10.84,2022,"Luxembourg","Europe & Central Asia","High income"
"98","LVA",1,138.8,75.98,2022,"Latvia","Europe & Central Asia","High income"
"99","MAR",1,3652.21,2308.05,2022,"Morocco","Middle East & North Africa","Lower middle income"
"100","MDA",1,264.85,163.57,2022,"Moldova","Europe & Central Asia","Upper middle income"
"101","MDG",1,11904.12,9242.86,2022,"Madagascar","Sub-Saharan Africa","Low income"
"102","MDV",1,81.69,55.81,2022,"Maldives","South Asia","Upper middle income"
"103","MEX",1,13297.8,7649.02,2022,"Mexico","Latin America & Caribbean","Upper middle income"
"104","MHL",1,16.48,13.4,2022,"Marshall Islands","East Asia & Pacific","Upper middle income"
"105","MKD",1,69.64,46.36,2022,"North Macedonia","Europe & Central Asia","Upper middle income"
"106","MLI",1,7299.87,5980.22,2022,"Mali","Sub-Saharan Africa","Low income"
"107","MLT",1,8.52,6.52,2022,"Malta","Middle East & North Africa","High income"
"108","MMR",1,9083.72,6773.24,2022,"Myanmar","East Asia & Pacific","Lower middle income"
"109","MNE",1,74.4,45.85,2022,"Montenegro","Europe & Central Asia","Upper middle income"
"110","MNG",1,564.58,519.07,2022,"Mongolia","East Asia & Pacific","Lower middle income"
"111","MOZ",1,15074.34,12480.42,2022,"Mozambique","Sub-Saharan Africa","Low income"
"112","MRT",1,1235.75,939.35,2022,"Mauritania","Sub-Saharan Africa","Lower middle income"
"113","MUS",1,109.46,77.27,2022,"Mauritius","Sub-Saharan Africa","Upper middle income"
"114","MWI",1,12824.77,10525.05,2022,"Malawi","Sub-Saharan Africa","Low income"
"115","MYS",1,2639.98,2204.08,2022,"Malaysia","East Asia & Pacific","Upper middle income"
"116","NAM",1,1029.27,742.01,2022,"Namibia","Sub-Saharan Africa","Upper middle income"
"117","NER",1,2661.11,2287.17,2022,"Niger","Sub-Saharan Africa","Low income"
"118","NGA",1,30974.42,24081.2,2022,"Nigeria","Sub-Saharan Africa","Lower middle income"
"119","NIC",1,1402.93,956.79,2022,"Nicaragua","Latin America & Caribbean","Lower middle income"
"120","NLD",1,522.3,227.15,2022,"Netherlands","Europe & Central Asia","High income"
"121","NOR",1,295.99,116.78,2022,"Norway","Europe & Central Asia","High income"
"122","NPL",1,6297.17,4955.59,2022,"Nepal","South Asia","Lower middle income"
"123","NZL",1,168.01,107.15,2022,"New Zealand","East Asia & Pacific","High income"
"124","OMN",1,240.06,184.68,2022,"Oman","Middle East & North Africa","High income"
"125","PAK",1,11186.34,7800.36,2022,"Pakistan","South Asia","Lower middle income"
"126","PAN",1,523.55,375.69,2022,"Panama","Latin America & Caribbean","High income"
"127","PER",1,6818.33,4923.92,2022,"Peru","Latin America & Caribbean","Upper middle income"
"128","PHL",1,16583.18,11965.3,2022,"Philippines","East Asia & Pacific","Lower middle income"
"129","PNG",1,2347.11,1796.32,2022,"Papua New Guinea","East Asia & Pacific","Lower middle income"
"130","POL",1,2402.56,1496.83,2022,"Poland","Europe & Central Asia","High income"
"131","PRT",1,472.35,238.47,2022,"Portugal","Europe & Central Asia","High income"
"132","PRY",1,2084.88,1549.93,2022,"Paraguay","Latin America & Caribbean","Upper middle income"
"133","PSE",1,567.26,433.89,2022,"West Bank and Gaza","Middle East & North Africa","Lower middle income"
"134","QAT",1,49.8,55.4,2022,"Qatar","Middle East & North Africa","High income"
"135","ROU",1,1934.36,1158.69,2022,"Romania","Europe & Central Asia","High income"
"136","RUS",1,9200.95,4841.27,2022,"Russian Federation","Europe & Central Asia","Upper middle income"
"137","RWA",1,4153.29,3341.97,2022,"Rwanda","Sub-Saharan Africa","Low income"
"138","SAU",1,989.56,701.3,2022,"Saudi Arabia","Middle East & North Africa","High income"
"139","SDN",1,4223.07,3296.46,2022,"Sudan","Sub-Saharan Africa","Low income"
"140","SEN",1,7445.36,5903.42,2022,"Senegal","Sub-Saharan Africa","Lower middle income"
"141","SGP",1,211.25,157.55,2022,"Singapore","East Asia & Pacific","High income"
"142","SLB",1,217.78,157.06,2022,"Solomon Islands","East Asia & Pacific","Lower middle income"
"143","SLE",1,1485.18,1209.3,2022,"Sierra Leone","Sub-Saharan Africa","Low income"
"144","SLV",1,861.18,668.19,2022,"El Salvador","Latin America & Caribbean","Lower middle income"
"145","SOM",1,3931.68,3322.58,2022,"Somalia","Sub-Saharan Africa","Low income"
"146","SRB",1,702.98,408.56,2022,"Serbia","Europe & Central Asia","Upper middle income"
"147","STP",1,111.04,106.57,2022,"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income"
"148","SUR",1,105.38,74.38,2022,"Suriname","Latin America & Caribbean","Upper middle income"
"149","SVK",1,415.14,210.62,2022,"Slovak Republic","Europe & Central Asia","High income"
"150","SVN",1,62.37,41.93,2022,"Slovenia","Europe & Central Asia","High income"
"151","SWE",1,497.98,217.47,2022,"Sweden","Europe & Central Asia","High income"
"152","SWZ",1,899.46,653.55,2022,"Eswatini","Sub-Saharan Africa","Lower middle income"
"153","TCD",1,2847.26,2396.84,2022,"Chad","Sub-Saharan Africa","Low income"
"154","TGO",1,1782.32,1414.4,2022,"Togo","Sub-Saharan Africa","Low income"
"155","THA",1,7052.8,4667.85,2022,"Thailand","East Asia & Pacific","Upper middle income"
"156","TJK",1,847.46,640.25,2022,"Tajikistan","Europe & Central Asia","Lower middle income"
"157","TKM",1,733.12,492.38,2022,"Turkmenistan","Europe & Central Asia","Upper middle income"
"158","TLS",1,207.71,158.47,2022,"Timor-Leste","East Asia & Pacific","Lower middle income"
"159","TON",1,36.51,30.59,2022,"Tonga","East Asia & Pacific","Upper middle income"
"160","TTO",1,210.5,139.45,2022,"Trinidad and Tobago","Latin America & Caribbean","High income"
"161","TUN",1,459.1,282.43,2022,"Tunisia","Middle East & North Africa","Lower middle income"
"162","TUR",1,4022.75,2665.33,2022,"Türkiye","Europe & Central Asia","Upper middle income"
"163","TUV",1,4.07,3.41,2022,"Tuvalu","East Asia & Pacific","Upper middle income"
"164","TZA",1,44358.19,32640.39,2022,"Tanzania","Sub-Saharan Africa","Lower middle income"
"165","UGA",1,28744.48,23129.92,2022,"Uganda","Sub-Saharan Africa","Low income"
"166","UKR",1,2598.27,1145.65,2022,"Ukraine","Europe & Central Asia","Lower middle income"
"167","URY",1,227.82,153.65,2022,"Uruguay","Latin America & Caribbean","High income"
"168","USA",1,11479.9,5869.56,2022,"United States","North America","High income"
"169","UZB",1,2911.63,1972.53,2022,"Uzbekistan","Europe & Central Asia","Lower middle income"
"170","VNM",1,5260.8,3753.4,2022,"Vietnam","East Asia & Pacific","Lower middle income"
"171","VUT",1,46.19,41.06,2022,"Vanuatu","East Asia & Pacific","Lower middle income"
"172","WSM",1,24.24,19.44,2022,"Samoa","East Asia & Pacific","Lower middle income"
"173","XK",1,53.99,32.52,2022,"Kosovo","Europe & Central Asia","Upper middle income"
"174","ZAF",1,16301.3,9558.17,2022,"South Africa","Sub-Saharan Africa","Upper middle income"
"175","ZMB",1,13803.57,9988.99,2022,"Zambia","Sub-Saharan Africa","Low income"
"176","ZWE",1,10403.67,8039.74,2022,"Zimbabwe","Sub-Saharan Africa","Lower middle income"
