"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,3684.74,2853.86,2015,"Afghanistan","South Asia","Low income"
"2","AGO",1,10796.91,7877.93,2015,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,115.01,69.8,2015,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,267.15,201.43,2015,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4827.04,3159.38,2015,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,134.17,98.94,2015,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,688.56,372.94,2015,"Australia","East Asia & Pacific","High income"
"8","AUT",1,225.34,117.93,2015,"Austria","Europe & Central Asia","High income"
"9","AZE",1,363.93,245.72,2015,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,4651.3,3882.41,2015,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,430.48,196.34,2015,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1466.44,1080.86,2015,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,2991.39,2481.81,2015,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,13355.04,9339.72,2015,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,457.44,250.28,2015,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,39.23,25.97,2015,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,51.39,37.8,2015,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,161.41,89.64,2015,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,398.5,183.47,2015,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,80.93,78.91,2015,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3030.18,2301.47,2015,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,21157.22,12789.5,2015,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,34.22,23.28,2015,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,47.26,15.49,2015,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,78.02,52.17,2015,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,719.04,501.18,2015,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,880.13,722.74,2015,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,912.24,524.34,2015,"Canada","North America","High income"
"29","CHE",1,150.26,82.03,2015,"Switzerland","Europe & Central Asia","High income"
"30","CHL",1,1491.7,1026.53,2015,"Chile","Latin America & Caribbean","High income"
"31","CHN",1,66304.88,42048.43,2015,"China","East Asia & Pacific","Upper middle income"
"32","CIV",1,6736.81,5231.8,2015,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",1,6490.86,4810.72,2015,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1,24116.51,19316.1,2015,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",1,1122.36,781.59,2015,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",1,6624.5,4550.95,2015,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",1,365.94,282.27,2015,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",1,82.63,73.96,2015,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",1,324.74,292.32,2015,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",1,33.12,41.68,2015,"Cyprus","Europe & Central Asia","High income"
"41","CZE",1,403.29,244.95,2015,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",1,2466.91,1245.86,2015,"Germany","Europe & Central Asia","High income"
"43","DJI",1,105.62,84.45,2015,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",1,277.3,129.9,2015,"Denmark","Europe & Central Asia","High income"
"45","DOM",1,2032.65,1661.28,2015,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",1,2404.42,1575.82,2015,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",1,3140.1,2209.42,2015,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",1,3000.66,2262.85,2015,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",1,1089.36,544.89,2015,"Spain","Europe & Central Asia","High income"
"50","EST",1,104.97,36.88,2015,"Estonia","Europe & Central Asia","High income"
"51","ETH",1,23362.8,18865.66,2015,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",1,121.62,53.51,2015,"Finland","Europe & Central Asia","High income"
"53","FJI",1,204.8,167.3,2015,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",1,2752.8,1311.47,2015,"France","Europe & Central Asia","High income"
"55","FSM",1,27.8,21.43,2015,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",1,503.02,308.07,2015,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",1,2335.91,868.29,2015,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",1,206.44,136.77,2015,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",1,7931.25,5800.39,2015,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",1,5702.83,4572.83,2015,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",1,1072.53,962.22,2015,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",1,620.18,504.5,2015,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",1,262.07,172.51,2015,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
"64","GRC",1,441.54,207.76,2015,"Greece","Europe & Central Asia","High income"
"65","GTM",1,4149.61,2986.51,2015,"Guatemala","Latin America & Caribbean","Upper middle income"
"66","GUY",1,207.35,131.08,2015,"Guyana","Latin America & Caribbean","Upper middle income"
"67","HND",1,1713.7,1176.42,2015,"Honduras","Latin America & Caribbean","Lower middle income"
"68","HRV",1,175.9,87.96,2015,"Croatia","Europe & Central Asia","High income"
"69","HTI",1,1607.02,1333.82,2015,"Haiti","Latin America & Caribbean","Lower middle income"
"70","HUN",1,661.29,280.97,2015,"Hungary","Europe & Central Asia","High income"
"71","IDN",1,51105.42,36481.56,2015,"Indonesia","East Asia & Pacific","Lower middle income"
"72","IND",1,212505.36,153007.83,2015,"India","South Asia","Lower middle income"
"73","IRL",1,263.2,113.43,2015,"Ireland","Europe & Central Asia","High income"
"74","IRN",1,1802.74,1505.72,2015,"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income"
"75","IRQ",1,853.19,660.06,2015,"Iraq","Middle East & North Africa","Upper middle income"
"76","ISL",1,12.13,7.62,2015,"Iceland","Europe & Central Asia","High income"
"77","ISR",1,330.72,229.03,2015,"Israel","Middle East & North Africa","High income"
"78","ITA",1,1578.02,599.25,2015,"Italy","Europe & Central Asia","High income"
"79","JAM",1,485.34,354.77,2015,"Jamaica","Latin America & Caribbean","Upper middle income"
"80","JOR",1,376.75,301.4,2015,"Jordan","Middle East & North Africa","Upper middle income"
"81","JPN",1,6358.75,2341.54,2015,"Japan","East Asia & Pacific","High income"
"82","KAZ",1,1449.26,759.54,2015,"Kazakhstan","Europe & Central Asia","Upper middle income"
"83","KEN",1,14817.62,10461.13,2015,"Kenya","Sub-Saharan Africa","Lower middle income"
"84","KGZ",1,695.72,485.16,2015,"Kyrgyz Republic","Europe & Central Asia","Lower middle income"
"85","KHM",1,1825.74,1303.36,2015,"Cambodia","East Asia & Pacific","Lower middle income"
"86","KIR",1,28.82,23.69,2015,"Kiribati","East Asia & Pacific","Lower middle income"
"87","KOR",1,1825.02,991.28,2015,"Korea, Rep.","East Asia & Pacific","High income"
"88","KWT",1,60.37,44.61,2015,"Kuwait","Middle East & North Africa","High income"
"89","LAO",1,750.63,513.54,2015,"Lao PDR","East Asia & Pacific","Lower middle income"
"90","LBN",1,259.8,186.51,2015,"Lebanon","Middle East & North Africa","Lower middle income"
"91","LBR",1,1962.78,1615.96,2015,"Liberia","Sub-Saharan Africa","Low income"
"92","LBY",1,438.24,340.01,2015,"Libya","Middle East & North Africa","Upper middle income"
"93","LCA",1,28.1,22.36,2015,"St. Lucia","Latin America & Caribbean","Upper middle income"
"94","LKA",1,1725.26,1065.99,2015,"Sri Lanka","South Asia","Lower middle income"
"95","LSO",1,830.28,612.96,2015,"Lesotho","Sub-Saharan Africa","Lower middle income"
