"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,4388.24,3408.64,2026,"Afghanistan","South Asia","Low income"
"2","AGO",1,16329.92,12005.8,2026,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,96.91,59.12,2026,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,408.96,309.71,2026,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,5141.69,3396.6,2026,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,174.29,129.44,2026,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,857.35,472.99,2026,"Australia","East Asia & Pacific","High income"
"8","AUT",1,235.73,124.75,2026,"Austria","Europe & Central Asia","High income"
"9","AZE",1,523.01,354.48,2026,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,7350.18,6163.56,2026,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,473.16,219.02,2026,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1977.39,1462.09,2026,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,4155.86,3461.41,2026,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12354.47,8678.74,2026,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,481.48,267.4,2026,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,51.4,34.04,2026,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,41.43,30.43,2026,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,156.01,87.96,2026,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,564.72,262.24,2026,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,81.74,79.8,2026,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3108.28,2396.25,2026,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,19343.81,11770.06,2026,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,28.1,19.15,2026,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,48.71,16.02,2026,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,69.33,46.54,2026,"Bhutan","South Asia","Lower middle income"
