"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,3989.9,3092.86,2018,"Afghanistan","South Asia","Low income"
"2","AGO",1,12409.49,9074.88,2018,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,96.84,58.88,2018,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,315.61,238.27,2018,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4877.63,3202.47,2018,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,147.81,109.25,2018,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,756.21,412.37,2018,"Australia","East Asia & Pacific","High income"
"8","AUT",1,227.74,119.67,2018,"Austria","Europe & Central Asia","High income"
"9","AZE",1,379.93,256.82,2018,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,5355.06,4475.99,2018,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,455.06,208.65,2018,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1602.13,1181.9,2018,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3338.06,2772.61,2018,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,12942.5,9063.93,2018,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,519.25,285.54,2018,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,42.98,28.45,2018,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,52.1,38.3,2018,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,174.02,97.12,2018,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,430.3,198.67,2018,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,78.93,76.99,2018,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3050.61,2327.57,2018,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,20153.44,12209.17,2018,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,33.19,22.59,2018,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,44.04,14.45,2018,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,75.76,50.72,2018,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,765.34,534.89,2018,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,930.81,765.21,2018,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",1,983.12,567.92,2018,"Canada","North America","High income"
"29","CHE",1,155.87,85.49,2018,"Switzerland","Europe & Central Asia","High income"
